Column_01,Column_02,Column_03,Column_04,Column_05,Column_06,Column_07,Column_08,Column_09,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20
45387,40887.6865,74298,-44906.1490,74394,-69119.7170,86154,-55035.6583,-29117,-60784.0741,-92755,17417.2770,-82126,-67338.2795,84977,74014.1309,-52277,56939.4881,93051,8040.2355
-43355.7964,-8116,-51313.0102,-37382,-72816.4031,-16883,-55633.8567,41254,62573.4735,88740,31555.6959,9935,31802.5359,4506,-91981.2275,-81323,-2306.5861,-96238,-29636.8719,23652
-893,-13663.8070,-74832,-24438.7707,27705,-91180.5165,-9344,-1661.7896,-39721,9964.8621,48473,78249.1266,-76018,23771.8687,-66671,-80477.1807,-46540,91718.2918,-52148,-13611.1418
-96783.5445,-10372,63054.0100,-53982,-42638.5004,33048,5997.9041,32918,93565.4840,20631,94350.9090,23904,-25708.1246,-51903,38518.2761,-66738,-4082.9489,-3465,-72082.6706,-57605
-50697,-13161.8378,-37721,27855.9477,-81858,-18923.5285,-97705,-44021.8378,36846,-20887.1046,-99999,89419.6464,39338,-59979.4102,-3699,-43160.6513,96185,-46719.1166,-58429,-8101.4612
-36102.5767,35791,-17879.1849,-73394,-4149.1875,51764,88737.8334,71380,-14385.0008,10075,36441.0646,26354,2019.0122,78303,27627.1803,-86833,-55026.2228,75673,78686.5536,-77696
-21016,-47619.1590,41516,-25048.6063,87784,-18225.5478,25985,3436.1717,-1230,18677.4402,44000,28281.2062,-57502,-93263.1502,78901,-6655.6656,-47566,20293.2916,-34589,2685.8886
16012.4713,-19509,10193.3781,53874,95787.3164,-60934,-29258.7880,539,-70962.8353,95064,-74629.5937,-80392,18679.8698,-63440,-4839.2087,-30925,53090.7676,70555,18679.2171,-10405
85258,-59.8321,32533,-11536.7955,-56337,21998.0134,60560,66449.8938,99177,30001.2746,55003,-67798.8720,20144,-91732.0589,13393,-41425.1696,-95021,78321.9232,-20215,-92783.4427
81740.7593,2152,-38661.9654,-73563,-28442.6712,40183,-69846.3190,-81499,-29627.4285,-34316,86619.6373,-87636,-87546.7498,-90978,-50121.1531,4712,-84461.1592,-68136,88331.3453,-8684
